,Neighborhood,Airbnb,Date,City,ZRI
7224,Prospect Heights,291,11/1/16,New York,2719
7225,Prospect Heights,291,10/1/16,New York,2711
7226,Prospect Heights,290,9/1/16,New York,2705
7227,Prospect Heights,289,8/1/16,New York,2713
7228,Prospect Heights,289,7/1/16,New York,2726
7229,Prospect Heights,288,6/1/16,New York,2745
7230,Prospect Heights,287,5/1/16,New York,2764
7231,Prospect Heights,282,4/1/16,New York,2779
7232,Prospect Heights,280,3/1/16,New York,2798
7233,Prospect Heights,279,2/1/16,New York,2796
7234,Prospect Heights,277,1/1/16,New York,2791
7299,Gowanus,118,12/1/16,New York,2754
7300,Gowanus,116,11/1/16,New York,2772
7301,Gowanus,116,10/1/16,New York,2787
7302,Gowanus,116,9/1/16,New York,2806
7303,Gowanus,113,8/1/16,New York,2830
7304,Gowanus,110,7/1/16,New York,2847
7305,Gowanus,110,6/1/16,New York,2852
7306,Gowanus,106,5/1/16,New York,2845
7307,Gowanus,104,4/1/16,New York,2836
7308,Gowanus,101,3/1/16,New York,2840
7309,Gowanus,97,2/1/16,New York,2849
7310,Gowanus,97,1/1/16,New York,2860
7375,Heartland Village,0,12/1/16,New York,1978
7376,Heartland Village,0,11/1/16,New York,1968
7377,Heartland Village,0,10/1/16,New York,1968
7378,Heartland Village,0,9/1/16,New York,1985
7379,Heartland Village,0,8/1/16,New York,2016
7380,Heartland Village,0,7/1/16,New York,2030
7381,Heartland Village,0,6/1/16,New York,2024
7382,Heartland Village,0,5/1/16,New York,2012
7383,Heartland Village,0,4/1/16,New York,2013
7384,Heartland Village,0,3/1/16,New York,2023
7385,Heartland Village,0,2/1/16,New York,2019
7386,Heartland Village,0,1/1/16,New York,2016
7451,Wingate,0,12/1/16,New York,2303
7452,Wingate,0,11/1/16,New York,2290
7453,Wingate,0,10/1/16,New York,2275
7454,Wingate,0,9/1/16,New York,2261
7455,Wingate,0,8/1/16,New York,2255
7456,Wingate,0,7/1/16,New York,2249
7457,Wingate,0,6/1/16,New York,2243
7458,Wingate,0,5/1/16,New York,2243
7459,Wingate,0,4/1/16,New York,2231
7460,Wingate,0,3/1/16,New York,2230
7461,Wingate,0,2/1/16,New York,2222
7462,Wingate,0,1/1/16,New York,2224
7527,West Brighton,19,12/1/16,New York,2162
7528,West Brighton,19,11/1/16,New York,2156
7529,West Brighton,19,10/1/16,New York,2152
7530,West Brighton,19,9/1/16,New York,2162
7531,West Brighton,15,8/1/16,New York,2178
7532,West Brighton,15,7/1/16,New York,2180
7533,West Brighton,15,6/1/16,New York,2142
7534,West Brighton,15,5/1/16,New York,2098
7535,West Brighton,15,4/1/16,New York,2066
7536,West Brighton,15,3/1/16,New York,2077
7537,West Brighton,15,2/1/16,New York,2085
7538,West Brighton,14,1/1/16,New York,2096
7603,Castle Hill,0,12/1/16,New York,1778
7604,Castle Hill,0,11/1/16,New York,1797
7605,Castle Hill,0,10/1/16,New York,1796
7606,Castle Hill,0,9/1/16,New York,1796
7607,Castle Hill,0,8/1/16,New York,1797
7608,Castle Hill,0,7/1/16,New York,1806
7609,Castle Hill,0,6/1/16,New York,1813
7610,Castle Hill,0,5/1/16,New York,1824
7611,Castle Hill,0,4/1/16,New York,1829
7612,Castle Hill,0,3/1/16,New York,1834
7613,Castle Hill,0,2/1/16,New York,1834
7614,Castle Hill,0,1/1/16,New York,1834
7679,Sutton Place,0,12/1/16,New York,3751
7680,Sutton Place,0,11/1/16,New York,3754
7681,Sutton Place,0,10/1/16,New York,3786
7682,Sutton Place,0,9/1/16,New York,3821
7683,Sutton Place,0,8/1/16,New York,3877
7684,Sutton Place,0,7/1/16,New York,3926
7685,Sutton Place,0,6/1/16,New York,3980
7686,Sutton Place,0,5/1/16,New York,4048
7687,Sutton Place,0,4/1/16,New York,4084
7688,Sutton Place,0,3/1/16,New York,4023
7689,Sutton Place,0,2/1/16,New York,3931
7690,Sutton Place,0,1/1/16,New York,3848
7755,Columbus Circle,0,12/1/16,New York,3822
7756,Columbus Circle,0,11/1/16,New York,3824
7757,Columbus Circle,0,10/1/16,New York,3851
7758,Columbus Circle,0,9/1/16,New York,3892
7759,Columbus Circle,0,8/1/16,New York,3925
7760,Columbus Circle,0,7/1/16,New York,3950
7761,Columbus Circle,0,6/1/16,New York,3952
7762,Columbus Circle,0,5/1/16,New York,3957
7763,Columbus Circle,0,4/1/16,New York,3941
7764,Columbus Circle,0,3/1/16,New York,3907
7765,Columbus Circle,0,2/1/16,New York,3875
7766,Columbus Circle,0,1/1/16,New York,3847
7831,Brooklyn Heights,106,12/1/16,New York,2834
7832,Brooklyn Heights,105,11/1/16,New York,2840
7833,Brooklyn Heights,105,10/1/16,New York,2842
7834,Brooklyn Heights,105,9/1/16,New York,2850
7835,Brooklyn Heights,103,8/1/16,New York,2866
7836,Brooklyn Heights,102,7/1/16,New York,2878
7837,Brooklyn Heights,101,6/1/16,New York,2889
7838,Brooklyn Heights,101,5/1/16,New York,2901
7839,Brooklyn Heights,100,4/1/16,New York,2911
7840,Brooklyn Heights,98,3/1/16,New York,2912
7841,Brooklyn Heights,97,2/1/16,New York,2910
7842,Brooklyn Heights,94,1/1/16,New York,2910
7907,Kew Gardens,0,12/1/16,New York,2142
7908,Kew Gardens,0,11/1/16,New York,2136
7909,Kew Gardens,0,10/1/16,New York,2128
7910,Kew Gardens,0,9/1/16,New York,2130
7911,Kew Gardens,0,8/1/16,New York,2144
7912,Kew Gardens,0,7/1/16,New York,2157
7913,Kew Gardens,0,6/1/16,New York,2161
7914,Kew Gardens,0,5/1/16,New York,2167
7915,Kew Gardens,0,4/1/16,New York,2170
7916,Kew Gardens,0,3/1/16,New York,2173
7917,Kew Gardens,0,2/1/16,New York,2164
7918,Kew Gardens,0,1/1/16,New York,2159
7983,West Village,659,12/1/16,New York,4392
7984,West Village,651,11/1/16,New York,4438
7985,West Village,644,10/1/16,New York,4493
7986,West Village,637,9/1/16,New York,4542
7987,West Village,635,8/1/16,New York,4607
7988,West Village,629,7/1/16,New York,4634
7989,West Village,622,6/1/16,New York,4641
7990,West Village,618,5/1/16,New York,4646
7991,West Village,614,4/1/16,New York,4658
7992,West Village,608,3/1/16,New York,4614
7993,West Village,600,2/1/16,New York,4549
7994,West Village,592,1/1/16,New York,4437
8059,Oakland Gardens,0,12/1/16,New York,2157
8060,Oakland Gardens,0,11/1/16,New York,2150
8061,Oakland Gardens,0,10/1/16,New York,2143
8062,Oakland Gardens,0,9/1/16,New York,2161
8063,Oakland Gardens,0,8/1/16,New York,2191
8064,Oakland Gardens,0,7/1/16,New York,2218
8065,Oakland Gardens,0,6/1/16,New York,2231
8066,Oakland Gardens,0,5/1/16,New York,2226
8067,Oakland Gardens,0,4/1/16,New York,2220
8068,Oakland Gardens,0,3/1/16,New York,2211
8069,Oakland Gardens,0,2/1/16,New York,2205
8070,Oakland Gardens,0,1/1/16,New York,2206
8135,Fresh Meadows,3,12/1/16,New York,2583
8136,Fresh Meadows,3,11/1/16,New York,2572
8137,Fresh Meadows,3,10/1/16,New York,2542
8138,Fresh Meadows,3,9/1/16,New York,2520
8139,Fresh Meadows,3,8/1/16,New York,2498
8140,Fresh Meadows,3,7/1/16,New York,2478
8141,Fresh Meadows,2,6/1/16,New York,2453
8142,Fresh Meadows,2,5/1/16,New York,2430
8143,Fresh Meadows,2,4/1/16,New York,2414
8144,Fresh Meadows,2,3/1/16,New York,2402
8145,Fresh Meadows,2,2/1/16,New York,2397
8146,Fresh Meadows,2,1/1/16,New York,2410
8211,Great Kills,4,12/1/16,New York,2216
8212,Great Kills,4,11/1/16,New York,2210
8213,Great Kills,4,10/1/16,New York,2195
8214,Great Kills,4,9/1/16,New York,2188
8215,Great Kills,4,8/1/16,New York,2187
8216,Great Kills,4,7/1/16,New York,2182
8217,Great Kills,4,6/1/16,New York,2166
8218,Great Kills,4,5/1/16,New York,2141
8219,Great Kills,4,4/1/16,New York,2127
8220,Great Kills,4,3/1/16,New York,2129
8221,Great Kills,4,2/1/16,New York,2124
8222,Great Kills,4,1/1/16,New York,2125
8287,Clinton Hill,693,12/1/16,New York,2701
8288,Clinton Hill,690,11/1/16,New York,2692
8289,Clinton Hill,684,10/1/16,New York,2686
8290,Clinton Hill,680,9/1/16,New York,2678
8291,Clinton Hill,675,8/1/16,New York,2685
8292,Clinton Hill,669,7/1/16,New York,2690
8293,Clinton Hill,661,6/1/16,New York,2700
8294,Clinton Hill,656,5/1/16,New York,2715
8295,Clinton Hill,649,4/1/16,New York,2729
8296,Clinton Hill,635,3/1/16,New York,2750
