"","Neighborhood","Airbnb","Date","City","ZRI","ZRI_City"
"86","DUMBO.(New York)",30,2016-11-01,"New York, NY",3586,2388
"87","DUMBO.(New York)",30,2016-10-01,"New York, NY",3603,2384
"88","DUMBO.(New York)",30,2016-09-01,"New York, NY",3616,2387
"89","DUMBO.(New York)",29,2016-08-01,"New York, NY",3640,2396
"90","DUMBO.(New York)",28,2016-07-01,"New York, NY",3660,2407
"91","DUMBO.(New York)",27,2016-06-01,"New York, NY",3693,2415
"92","DUMBO.(New York)",27,2016-05-01,"New York, NY",3677,2419
"93","DUMBO.(New York)",25,2016-04-01,"New York, NY",3628,2421
"94","DUMBO.(New York)",25,2016-03-01,"New York, NY",3556,2418
"95","DUMBO.(New York)",25,2016-02-01,"New York, NY",3532,2409
"96","DUMBO.(New York)",25,2016-01-01,"New York, NY",3530,2399
"97","New Dorp Beach.(New York)",1,2016-12-01,"New York, NY",2126,2392
"98","New Dorp Beach.(New York)",1,2016-11-01,"New York, NY",2126,2388
"99","New Dorp Beach.(New York)",1,2016-10-01,"New York, NY",2117,2384
"100","New Dorp Beach.(New York)",1,2016-09-01,"New York, NY",2115,2387
"101","New Dorp Beach.(New York)",1,2016-08-01,"New York, NY",2126,2396
"102","New Dorp Beach.(New York)",0,2016-07-01,"New York, NY",2140,2407
"103","New Dorp Beach.(New York)",0,2016-06-01,"New York, NY",2148,2415
"104","New Dorp Beach.(New York)",0,2016-05-01,"New York, NY",2145,2419
"105","New Dorp Beach.(New York)",0,2016-04-01,"New York, NY",2142,2421
"106","New Dorp Beach.(New York)",0,2016-03-01,"New York, NY",2145,2418
"107","New Dorp Beach.(New York)",0,2016-02-01,"New York, NY",2133,2409
"108","New Dorp Beach.(New York)",0,2016-01-01,"New York, NY",2110,2399
"109","Pleasant Plains.(New York)",0,2016-12-01,"New York, NY",2289,2392
"110","Pleasant Plains.(New York)",0,2016-11-01,"New York, NY",2285,2388
"111","Pleasant Plains.(New York)",0,2016-10-01,"New York, NY",2278,2384
"112","Pleasant Plains.(New York)",0,2016-09-01,"New York, NY",2267,2387
"113","Pleasant Plains.(New York)",0,2016-08-01,"New York, NY",2264,2396
"114","Pleasant Plains.(New York)",0,2016-07-01,"New York, NY",2244,2407
"115","Pleasant Plains.(New York)",0,2016-06-01,"New York, NY",2213,2415
"116","Pleasant Plains.(New York)",0,2016-05-01,"New York, NY",2177,2419
"117","Pleasant Plains.(New York)",0,2016-04-01,"New York, NY",2171,2421
"118","Pleasant Plains.(New York)",0,2016-03-01,"New York, NY",2183,2418
"119","Pleasant Plains.(New York)",0,2016-02-01,"New York, NY",2209,2409
"120","Pleasant Plains.(New York)",0,2016-01-01,"New York, NY",2228,2399
"121","Breezy Point.(New York)",0,2016-12-01,"New York, NY",2194,2392
"122","Breezy Point.(New York)",0,2016-11-01,"New York, NY",2203,2388
"123","Breezy Point.(New York)",0,2016-10-01,"New York, NY",2206,2384
"124","Breezy Point.(New York)",0,2016-09-01,"New York, NY",2203,2387
"125","Breezy Point.(New York)",0,2016-08-01,"New York, NY",2209,2396
"126","Breezy Point.(New York)",0,2016-07-01,"New York, NY",2217,2407
"127","Breezy Point.(New York)",0,2016-06-01,"New York, NY",2227,2415
"128","Breezy Point.(New York)",0,2016-05-01,"New York, NY",2227,2419
"129","Breezy Point.(New York)",0,2016-04-01,"New York, NY",2210,2421
"130","Breezy Point.(New York)",0,2016-03-01,"New York, NY",2184,2418
"131","Breezy Point.(New York)",0,2016-02-01,"New York, NY",2198,2409
"132","Breezy Point.(New York)",0,2016-01-01,"New York, NY",2231,2399
"133","Port Ivory.(New York)",0,2016-12-01,"New York, NY",2030,2392
"134","Port Ivory.(New York)",0,2016-11-01,"New York, NY",2013,2388
"135","Port Ivory.(New York)",0,2016-10-01,"New York, NY",2004,2384
"136","Port Ivory.(New York)",0,2016-09-01,"New York, NY",2025,2387
"137","Port Ivory.(New York)",0,2016-08-01,"New York, NY",2046,2396
"138","Port Ivory.(New York)",0,2016-07-01,"New York, NY",2041,2407
"139","Port Ivory.(New York)",0,2016-06-01,"New York, NY",1998,2415
"140","Port Ivory.(New York)",0,2016-05-01,"New York, NY",1963,2419
"141","Port Ivory.(New York)",0,2016-04-01,"New York, NY",1962,2421
"142","Port Ivory.(New York)",0,2016-03-01,"New York, NY",1996,2418
"143","Port Ivory.(New York)",0,2016-02-01,"New York, NY",2017,2409
"144","Port Ivory.(New York)",0,2016-01-01,"New York, NY",2019,2399
"145","Columbia Street Waterfront District.(New York)",0,2016-12-01,"New York, NY",2770,2392
"146","Columbia Street Waterfront District.(New York)",0,2016-11-01,"New York, NY",2796,2388
