"","Bay Village","Downtown","West End","Chinatown","Beacon Hill","North End","Mission Hill","Kenmore","Charlestown","Back Bay","Fenway","Allston","North Dorchester","South End","West Roxbury","Roslindale","Hyde Park","South Boston","Mattapan","Brighton","Jamaica Plain","East Boston","Roxbury","South Dorchester","date"
"X2013.11","  6"," 67"," 17"," 21"," 70"," 62"," 40","  0"," 40","114"," 74"," 59","  0","129"," 17"," 28","  3"," 52","  4"," 45","159"," 49"," 56","  0","X2013.11"
"X2013.12","  6"," 67"," 17"," 21"," 70"," 63"," 41","  0"," 40","117"," 79"," 64","  0","131"," 17"," 29","  3"," 57","  4"," 48","160"," 51"," 56","  0","X2013.12"
"X2014.01","  9"," 69"," 17"," 21"," 74"," 69"," 41","  0"," 41","119"," 81"," 64","  0","132"," 17"," 29","  3"," 59","  4"," 49","163"," 51"," 59","  0","X2014.01"
"X2014.02","  9"," 74"," 17"," 22"," 78"," 70"," 43","  0"," 42","122"," 81"," 66","  0","135"," 17"," 29","  3"," 60","  8"," 53","171"," 51"," 65","  0","X2014.02"
"X2014.03","  9"," 81"," 17"," 24"," 80"," 71"," 43","  0"," 42","130"," 84"," 87","  0","152"," 17"," 29","  3"," 60","  8"," 56","177"," 52"," 71","  0","X2014.03"
"X2014.04","  9"," 82"," 17"," 24"," 81"," 72"," 43","  0"," 42","132"," 88"," 90","  0","155"," 17"," 34","  5"," 60","  9"," 60","182"," 54"," 72","  0","X2014.04"
"X2014.05","  9"," 82"," 18"," 27"," 83"," 75"," 47","  0"," 46","134"," 90"," 94","  0","161"," 17"," 34","  5"," 63","  9"," 61","193"," 57"," 78","  0","X2014.05"
"X2014.06"," 10"," 84"," 18"," 28"," 85"," 75"," 47","  0"," 48","137"," 93"," 98","  0","162"," 17"," 35","  9"," 65","  9"," 64","201"," 61"," 81","  0","X2014.06"
"X2014.07"," 10"," 87"," 18"," 28"," 87"," 76"," 49","  0"," 48","145"," 96","100","  0","165"," 17"," 37","  9"," 67","  9"," 67","205"," 69"," 82","  0","X2014.07"
"X2014.08"," 10"," 91"," 18"," 28"," 89"," 77"," 54","  0"," 59","156","104","111","  0","170"," 18"," 38"," 10"," 78"," 10"," 72","223"," 73"," 90","  0","X2014.08"
